No,Date,Day,Sahri_End,Fajr_Start,Iftar_Time
1,2 March,Sunday,5:04 AM,5:05 AM,6:02 PM
2,3 March,Monday,5:03 AM,5:04 AM,6:03 PM
3,4 March,Tuesday,5:02 AM,5:03 AM,6:03 PM
4,5 March,Wednesday,5:01 AM,5:02 AM,6:04 PM
5,6 March,Thursday,5:00 AM,5:01 AM,6:04 PM
6,7 March,Friday,4:59 AM,5:00 AM,6:05 PM
7,8 March,Saturday,4:58 AM,4:59 AM,6:05 PM
8,9 March,Sunday,4:57 AM,4:58 AM,6:06 PM
9,10 March,Monday,4:56 AM,4:57 AM,6:06 PM
10,11 March,Tuesday,4:55 AM,4:56 AM,6:06 PM
11,12 March,Wednesday,4:54 AM,4:55 AM,6:07 PM
12,13 March,Thursday,4:53 AM,4:54 AM,6:07 PM
13,14 March,Friday,4:52 AM,4:53 AM,6:08 PM
14,15 March,Saturday,4:51 AM,4:52 AM,6:08 PM
15,16 March,Sunday,4:50 AM,4:51 AM,6:08 PM
16,17 March,Monday,4:49 AM,4:50 AM,6:09 PM
17,18 March,Tuesday,4:48 AM,4:49 AM,6:09 PM
18,19 March,Wednesday,4:47 AM,4:48 AM,6:10 PM
19,20 March,Thursday,4:46 AM,4:47 AM,6:10 PM
20,21 March,Friday,4:45 AM,4:46 AM,6:10 PM
21,22 March,Saturday,4:44 AM,4:45 AM,6:11 PM
22,23 March,Sunday,4:43 AM,4:44 AM,6:11 PM
23,24 March,Monday,4:42 AM,4:43 AM,6:11 PM
24,25 March,Tuesday,4:41 AM,4:42 AM,6:12 PM
25,26 March,Wednesday,4:40 AM,4:41 AM,6:12 PM
26,27 March,Thursday,4:39 AM,4:40 AM,6:13 PM
27,28 March,Friday,4:38 AM,4:39 AM,6:13 PM
28,29 March,Saturday,4:37 AM,4:38 AM,6:14 PM
29,30 March,Sunday,4:36 AM,4:37 AM,6:14 PM
30,31 March,Monday,4:35 AM,4:36 AM,6:15 PM
